The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months,,,,,,,,,,
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.,,,,,,,,,,
,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,
,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  Value Weighted Returns -- Monthly,,,,,,,,,,
,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
201109,-2.56,-3.94,-5.22,-7.21,-9.92,-9.36,-12.66,-14.82,-16.13,-16.59
201110,6.11,6.49,10.5,12.51,14.42,12.68,17.09,17.11,21.29,19.33
201111,1.76,0.87,1.45,-1.06,-0.16,-0.93,-1.65,-3.95,-3.51,-3.66
201112,3.44,2.53,-1.24,-0.34,-0.94,1.65,0.6,-1.81,-1.74,-1.51
201201,0.13,0.88,5.01,8.17,5.33,7.16,7.48,9.76,12.01,12.28
201202,1.45,2.44,4.24,4.7,5.07,7.97,4.85,7.03,4.74,9.04
201203,2.1,3.04,3.63,3.61,1.85,5.18,1.26,3.39,3.75,2.84
201204,0.86,0.46,-0.17,-1.44,-0.9,-2,-0.84,-4.21,-2.87,-0.16
201205,-1.17,-3.14,-5.89,-8.88,-7.7,-6.12,-8.76,-9.75,-12.98,-12.9
201206,4.66,5.42,3.55,3.82,4.08,2.14,4.21,4.07,0.81,3.21
201207,2.63,1.28,0.88,-1.7,2.56,0.21,1.13,-1.03,-1.62,-4.26
201208,-0.71,0.78,1.95,4.04,5.81,2.6,4.54,5.45,5.04,9.42
201209,3.1,3.14,1.51,0.6,3.34,3.91,1.97,2.91,4.05,2.75
201210,-1.22,-1.77,-1.24,-2.55,-4.06,-2.99,-1.05,0.6,1.93,1.86
201211,-0.07,0.3,1.82,0.85,0.37,1.11,2.43,0.9,0.13,0.26
201212,-1.22,-0.45,1.06,2.08,-0.42,3.09,3.14,4.91,7.61,6.01
201301,5.4,6.62,5.64,5.89,1.6,6.97,7.7,4.46,5.95,10.03
201302,2.87,1.36,1.08,0.9,1.12,1.24,-0.37,-0.44,-0.42,-0.19
201303,4.86,4.88,3.53,3.77,2.41,3.32,2.85,5.11,4.02,5.45
201304,2.66,1.89,1.17,1.94,1.66,0.46,-0.77,0.77,1.41,2.23
201305,-0.86,-0.3,2.03,5.41,4.52,5.81,3.93,6.68,6.94,5.33
201306,-0.29,-1.17,-0.82,-0.44,-2.78,-1.27,-1.79,-2.04,-3.2,-2.42
201307,4.24,5.45,4.83,6.35,6.14,5.89,4.33,6.4,8.72,6.27
201308,-4.33,-3.92,-3.29,-0.25,-3.33,-2.56,-0.72,-1.67,-2.7,-2.07
201309,1.56,2.3,4.94,3.24,4.61,4.3,5.97,5.07,3.61,8.1
201310,5.68,2.59,4.22,5.73,3.82,3.91,2.32,4.39,2.69,4.59
201311,2.32,2.9,3.78,4.19,3.19,2.81,2,3.24,4.64,2.56
201312,0.94,1.41,3.74,2.48,2.67,3.53,3.89,2.98,1.94,5.77
201401,-2.69,-3.55,-4.44,-2.38,-3.92,-3.86,-3.28,-5.09,-2.71,-3.97
201402,3.15,5.13,4.03,5.06,4.41,4.6,6.05,5.32,4.53,8.12
201403,0.72,2.28,0.64,-0.62,1.22,1.28,-0.35,1.19,0.1,-1.46
201404,2.43,1.84,-1.39,0.12,-2.41,-0.14,-0.06,-0.45,-2.5,-0.9
201405,0.58,0.49,2.96,4.19,2.74,2.21,2.47,1.85,1.2,0.82
201406,0.98,2.04,1.55,2.16,3.07,3.03,3.81,5.92,3.45,3.28
201407,-2.34,0.01,-1.66,-0.35,-2.87,-3.43,-2.11,-3.38,-3.05,-4.81
201408,5.06,4.36,4.05,3.5,3.79,4.08,4.11,4.16,3.82,7.23
201409,0.44,-0.43,-3.06,-0.82,-1.63,-4.36,-2.74,-5.52,-5.6,-6.46
201410,3.74,3.63,3.62,2.33,3.02,1.22,0.31,0.67,0.06,-0.27
201411,3.99,2.23,3.49,4.07,2.87,1.78,-1.27,0.61,-2.12,0.99
201412,-0.75,-0.5,-0.89,0.38,-0.08,1.95,1.5,0.55,-1.01,0.69
201501,-0.45,-0.17,-1.39,-3.38,-5.63,-3.87,-7.76,-6.58,-5.54,-8.08
201502,2.28,4.87,6.43,6.48,8.36,7.83,7.96,8.41,8.29,10.31
201503,-0.8,-1.15,-1.53,-1.9,-1.52,-0.91,-0.62,-1.33,-1.26,-1.9
201504,-1.34,-0.03,1.08,1.08,1.52,0.21,2.89,2.11,2.31,-0.6
201505,1.1,2.59,0.85,2.02,1.65,0.55,1.19,0.66,-0.72,0.46
201506,-1.96,-0.48,-2.46,-2.51,-0.62,-1.74,0.51,-0.99,-1.55,-3.3
201507,5.85,1.74,3.58,1.33,0.59,0.8,-1.04,-1.12,-0.79,-5.08
201508,-5.39,-5.93,-5.08,-5.51,-5.99,-7.49,-5.85,-6.97,-7.44,-6.4
201509,-0.91,-1.8,-1.37,-1.69,-2.84,-4.16,-5.53,-6.3,-7.3,-10.08
201510,6.83,6.79,7.75,9.76,7.92,7.18,9.55,8.08,8.43,4.83
201511,0.45,-0.65,0.56,0.7,0.88,-0.22,0.88,2.99,2.64,-0.65
201512,1.5,-1.69,-1.13,-1.47,-4.23,-3.33,-4.18,-5.12,-6.92,-5.76
201601,-0.78,-4.48,-5.8,-4.25,-6.03,-6.83,-9.7,-11,-12.87,-12.44
201602,-0.58,0.8,1.32,-0.64,-0.3,1.28,1.19,-1.41,-1.81,-2.57
201603,5.53,6.25,6.38,7.3,7.44,6.85,7.2,9.09,10.59,9.68
201604,0.84,-2.28,-0.28,-0.13,1.79,1.9,3.68,4.46,3.96,5.6
201605,2.06,1.4,1.62,1.76,2.25,1.53,1.78,2.03,1.18,-0.01
201606,3.87,0.89,0.43,0.02,-0.97,-1.3,-3.12,-4.09,-5.15,-1.34
201607,1.39,1.9,5.79,5.11,1.93,5.81,5.31,5.8,5.98,7.8
201608,-3.44,-0.54,0.94,0.18,1.67,0.33,1.02,3.32,6.57,5.38
201609,-0.47,-0.01,0.62,0.37,-2.28,0.46,0.7,1.32,1.53,3.44
201610,-1.3,-1.9,-2.88,-1.66,-0.98,-2.85,-1.58,-1,0.37,-9.64
201611,-1.44,1.91,2.83,5.36,7.98,6.85,7.9,12.73,16.57,16.2
201612,3.56,2.3,1.09,1.34,2.17,-0.26,1.28,3.12,2.7,-1.34
201701,1.27,1.03,2.79,1.67,2.74,4.01,2.41,1.37,0.9,3.48
201702,3.29,5.52,3,3.98,2.88,2.94,1.97,2.94,3.96,2.11
201703,0.07,0.55,0.84,0.67,-0.83,0.54,0.09,-1.39,-1.19,-0.71
201704,1.1,0.38,2.78,1.58,1.26,1.16,0.69,0.42,-0.64,-2.24
201705,2.19,2.54,2.11,1.45,-1,0.95,0.29,-2.52,-1.45,-3.11
201706,-2.17,-0.37,0.01,0.52,2.72,2.8,2.52,4.76,4.39,3.95
201707,1.99,2.91,1.02,1.77,3.54,1.88,1.03,0.59,2.49,3.64
201708,0.23,-0.52,0.42,2.08,1.35,-1.46,-0.42,-0.7,-1.77,0.94
201709,-0.57,0.77,2.12,1.09,4.28,2.81,4.83,7.31,7.51,6.91
201710,2.85,0.8,2.61,3.67,2.59,1.26,0.9,3.38,2.52,-0.82
201711,3.08,5.04,4.07,2.18,3.53,2.78,2.21,3.16,3.53,4.08
201712,-1.07,1.45,1.07,0.56,2.14,2.01,0.98,2.01,1.78,2.37
201801,1.07,4.39,4.6,6.44,6.01,8.71,5.53,7.12,5.59,7.45
201802,-4.1,-4.74,-4.64,-2.53,-2.37,-4.14,-4.62,-1.32,-2.28,-6.54
201803,-1.26,-0.75,-1.65,-3.28,-1.71,-3.21,-1.22,-3.73,-2.45,-0.97
201804,1.81,-1.09,1.15,-0.21,-1.18,2.62,2.4,-0.07,0.21,1.67
201805,2.97,0.5,2.07,4.83,3.88,1.63,2.72,0.75,2.87,7.26
201806,2.11,1.94,0.92,0.41,-0.65,2.02,0.03,-2.03,-2.67,-0.58
201807,2.02,2.32,1.83,5.05,4.03,3.23,3.95,4.25,3.86,2.59
201808,3.12,1.81,3.04,3.43,2.98,7.85,2.02,4.94,2.1,6.1
201809,0.21,0.85,0.41,1.06,1.57,-0.18,0.12,-0.82,-2.65,-1.9
201810,-0.32,-2.32,-4.94,-7.42,-10.65,-6.82,-7.11,-12.18,-10.02,-16.86
201811,1.99,1.42,2.14,4.41,1.89,-4.91,3.84,3.14,2.53,-1.69
201812,-6.38,-7.8,-9.41,-8.12,-8.71,-9.51,-10.79,-11.5,-12.64,-14.23
201901,4.52,6.75,9.04,6.87,8.86,6.54,9.99,11.77,12.33,17.34
201902,4.07,2.85,2.91,3.76,4.44,4.32,5.78,1.31,2.87,7.02
201903,3.08,2.36,1.62,2.52,0.83,2.6,-1.89,0.77,-2.77,-0.17
201904,1.19,2.56,2.71,4.28,3.43,7.08,3.85,6.87,7.34,1.19
201905,-2.55,-4.44,-4.25,-5.46,-8.13,-9.22,-7.78,-8.6,-11.11,-9.21
201906,4.45,6.4,6.34,6.12,8.43,9.3,8.31,7.78,7.66,10.13
201907,2,1.25,-0.34,3.38,1.62,1.13,0.7,2.34,0.09,1.53
201908,2.05,0.8,-2.19,-2.68,-2.1,-2.31,-4.55,-3.99,-7.31,-6.38
201909,1.48,1.19,1.06,2.02,1.53,0.32,5.14,2.87,3.95,-1.66
201910,1.22,1.11,2.21,1.54,1.73,1.89,2.7,4.74,4.37,3.79
201911,0.43,1.87,3.59,2.94,4.7,4.36,5.47,5.78,6.65,8.53
201912,3.16,2.25,3.02,2.25,2.4,2.19,2.35,4.86,4.18,5.41
202001,1.48,-1.5,-0.09,-0.62,1.34,0.25,-3.11,3.47,-4.39,-0.53
202002,-8.12,-7.58,-7.43,-8.7,-6.76,-8.58,-9.14,-9.25,-10.17,-2.96
202003,-8.81,-9.5,-12.1,-14.48,-10.77,-14.95,-22.75,-9.18,-22.42,-17.82
202004,8.34,8.99,13.15,13.03,14.29,13.57,12.84,19.72,15.86,20.18
202005,2.85,3.07,4.22,5.56,4.11,7.93,7.32,4.97,7.39,12.45
202006,-2.26,-1.16,-0.92,-0.34,4.59,1.16,2.59,10.56,4.22,7.41
202007,5.53,4.84,6.97,3.09,4.28,11.42,5.25,3.09,4.05,8.97
202008,1.94,4.73,7.65,6.55,9.4,17.16,10.2,5.1,5.5,7.86
202009,-1.34,-1.12,-5.27,-4.37,-3.04,-7.42,-2.89,-4.21,-3.69,-0.23
202010,-2.41,-3.33,-2.79,-0.07,-3.01,-3.39,-1.87,0,3.63,2.3
202011,5.57,8.91,7.97,12.43,16.46,17.06,16.51,20.07,21.75,26.31
202012,1.44,2.7,3.6,3.51,5.05,10.2,5.05,9.15,5.73,7.82
202101,0.12,-2.08,-0.54,-1.21,-3.16,1.61,0.02,2.19,0.85,5.57
202102,-3.98,1.01,1.06,7.2,8.31,-1.31,9.81,11.58,10.69,6.57
202103,7.02,6.64,3.36,3.7,3.03,1.25,1.31,4.23,0.73,-4.24
202104,1.6,4.24,6.45,6.36,6.24,5.38,5.7,4.31,4.37,4.33
202105,1.9,1.61,-1.44,1.48,0.43,-2.01,2.4,2.7,1.63,-3.18
202106,0.56,-0.28,4.35,2.29,0.01,4.92,4.35,-0.3,1.99,8.42
202107,2.74,1.28,3.26,3.51,0.08,-0.39,3.1,-2.64,-1.8,-9.19
202108,2.15,1.97,3.11,4.22,0.92,0.56,4.73,2.5,3.87,5.39
202109,-4.58,-4.37,-5.11,-6.87,-2.58,-2.57,-5.35,0.75,-0.45,-3.71
,,,,,,,,,,
,,,,,,,,,,
Copyright 2021 Kenneth R. French,,,,,,,,,,
